rank,imputation,outlier_handling,normalization,cheating_ks,d2_ks,overall_ks
1,KNN,Isolation Forest,Min–Max,0.011639799,0.013258367,0.012449083
2,LOCF,Isolation Forest,Min–Max,0.011761299,0.013246248,0.012503773
3,KNN,MAD,Min–Max,0.012231440,0.014748441,0.013489940
4,LOCF,MAD,Min–Max,0.012367463,0.014746944,0.013557203
5,KNN,Isolation Forest,Robust,0.015514738,0.017048124,0.016281431
6,LOCF,Isolation Forest,Robust,0.015696124,0.017024866,0.016360495
7,KNN,MAD,Robust,0.016287302,0.018963793,0.017625548
8,LOCF,MAD,Robust,0.016501836,0.018963216,0.017732526
9,KNN,Isolation Forest,Z-score,0.022268654,0.025591651,0.023930152
10,LOCF,Isolation Forest,Z-score,0.022594071,0.025557694,0.024075883
11,KNN,MAD,Z-score,0.023380502,0.028422590,0.025901546
12,LOCF,MAD,Z-score,0.023756774,0.028428064,0.026092419
