MV Method;Outlier Method;Normalization;Feature;Variance Reduction (%);Skewness Reduction;Kurtosis Reduction;KS-Test Statistic;KS-Test P-Value
knn;mad;minmax;Gaze X;100,00;0,00;0,00;1;0
;;;Gaze Y;100,00;2,33147E-15;4,44089E-16;1;0
;;;ET_PupilLeft;48,68;3,88578E-15;0,00;1;0
;;;ET_PupilRight;29,91;2,38698E-15;0,00;1;0
;;zscore;Gaze X;99,99;0,00;0,00;1;0
;;;Gaze Y;99,98;8,88178E-16;0,00;1;0
;;;ET_PupilLeft;-1657,86;5,44009E-15;0,00;1;0
;;;ET_PupilRight;-1847,27;1,88738E-15;0,00;1;0
;;robust;Gaze X;100,00;0,00;0,00;1;0
;;;Gaze Y;99,97;1,11022E-15;0,00;1;0
;;;ET_PupilLeft;-692,76;5,16254E-15;0,00;1;0
;;;ET_PupilRight;-813,61;1,55431E-15;0,00;1;0
;isolationforest;minmax;Gaze X;100,00;4,44089E-16;8,88178E-16;1;0
;;;Gaze Y;100,00;0,00;0,00;1;0
;;;ET_PupilLeft;97,15;0,00;1,33227E-15;0,733730083;0
;;;ET_PupilRight;96,65;2,22045E-16;0,00;0,728894858;0
;;zscore;Gaze X;100,00;0,00;0,00;1;0
;;;Gaze Y;99,99;0,00;4,44089E-16;1;0
;;;ET_PupilLeft;82,69;2,22045E-16;4,44089E-16;0,733730083;0
;;;ET_PupilRight;80,00;2,22045E-16;0,00;0,728894858;0
;;robust;Gaze X;100,00;6,66134E-16;2,66454E-15;1;0
;;;Gaze Y;99,98;2,77556E-16;1,33227E-15;1;0
;;;ET_PupilLeft;96,69;0,00;1,33227E-15;0,733730083;0
;;;ET_PupilRight;96,14;0,00;0,00;0,728894858;0
locf;mad;minmax;Gaze X;100,00;1,11022E-15;0,00;1;0
;;;Gaze Y;100,00;0,00;0,00;1;0
;;;ET_PupilLeft;43,18;1,77636E-15;0,00;1;0
;;;ET_PupilRight;25,47;0,00;1,33227E-15;1;0
;;zscore;Gaze X;100,00;3,05311E-16;0,00;1;0
;;;Gaze Y;100,00;0,00;0,00;1;0
;;;ET_PupilLeft;-1672,13;1,66533E-15;0,00;1;0
;;;ET_PupilRight;-1856,96;0,00;8,88178E-16;1;0
;;robust;Gaze X;100,00;0,00;0,00;1;0
;;;Gaze Y;100,00;0,00;0,00;1;0
;;;ET_PupilLeft;-699,62;1,60982E-15;0,00;1;0
;;;ET_PupilRight;-810,50;0,00;4,44089E-16;1;0
;isolationforest;minmax;Gaze X;100,00;0,00;0,00;1;0
;;;Gaze Y;100,00;0,00;0,00;1;0
;;;ET_PupilLeft;97,14;0,00;0,00;0,729122672;0
;;;ET_PupilRight;96,62;0,00;4,44089E-16;0,724568138;0
;;zscore;Gaze X;100,00;0,00;0,00;1;0
;;;Gaze Y;100,00;4,44089E-16;2,22045E-15;1;0
;;;ET_PupilLeft;82,88;0,00;0,00;0,729122672;0
;;;ET_PupilRight;80,19;0,00;8,88178E-16;0,724568138;0
;;robust;Gaze X;100,00;0,00;0,00;1;0
;;;Gaze Y;100,00;0,00;0,00;1;0
;;;ET_PupilLeft;96,69;2,22045E-16;0,00;0,729122672;0
;;;ET_PupilRight;96,13;0,00;4,44089E-16;0,724568138;0
