,,Z-Score,Z-Score,Z-Score,MAD,MAD,MAD,Isolation Forest,Isolation Forest,Isolation Forest
,,Variance Reduction (%),KS-Test Statistic,KS-Test P-Value,Variance Reduction (%),KS-Test Statistic,KS-Test P-Value,Variance Reduction (%),KS-Test Statistic,KS-Test P-Value
5,Gaze X,0.0,0.0,1.0,89.47959504341979,0.11726546906187625,5.777480677307341e-23,77.3324931151717,0.048993620324363094,0.00016204261392972156
5,Gaze Y,0.0,0.0,1.0,87.9352566691557,0.10654627539503386,8.644968154707986e-11,70.86198095318655,0.04728497369301942,0.015356897764467758
5,ET_PupilLeft,0.0,0.000185459940652819,0.9999999999999991,99.82252372504169,0.24462166172106825,1.3517328891705336e-117,81.55448958803727,0.04986924766471797,4.023360959199107e-06
5,ET_PupilRight,0.0,0.0,1.0,99.57860234775919,0.24981454005934717,3.687161612881505e-122,59.73150090951387,0.04988872403560831,3.987841698413971e-06
10,Gaze X,0.0,0.0,1.0,91.22200643354182,0.1594311377245509,4.566109778815475e-41,32.88949695834781,0.040408151388318714,0.0032767956713791856
10,Gaze Y,0.0,0.0,1.0,94.19785062375244,0.14808126410835215,5.87763815545195e-20,29.77186472899066,0.04258219555435507,0.03833597985320314
10,ET_PupilLeft,0.0,0.000185459940652819,0.9999999999999991,99.83585011830812,0.23089762611275966,1.6071521799384547e-101,30.657014346495355,0.04705388809777338,1.695570218467137e-05
10,ET_PupilRight,0.0,0.0,1.0,99.69913463165304,0.2392433234421365,2.8431459537767143e-108,25.458769003379018,0.04710363982144884,1.6503685382406585e-05
15,Gaze X,0.0,0.0,1.0,86.47012426941471,0.17265469061876249,1.0438694047922741e-47,25.155098971467265,0.03526069089844452,0.015035678402546783
15,Gaze Y,0.0,0.0009029345372460496,1.0,91.67441411308617,0.199548532731377,8.767210698615613e-35,18.277310468741668,0.03866289299539091,0.07665576161059114
15,ET_PupilLeft,0.0,0.000185459940652819,0.9999999999999991,99.9006030704222,0.21865727002967358,6.685533212096987e-88,7.492027571722006,0.0128409279405925,0.7622944784576923
15,ET_PupilRight,0.0,0.000185459940652819,0.9999999999999991,99.8372282831166,0.22292284866468842,5.997039646447427e-91,12.124236412627422,0.044794984572282016,5.056828435029991e-05
20,Gaze X,0.0,0.0,1.0,94.07060104348595,0.19885229540918165,3.906402932173975e-62,14.328056664110859,0.034449483386168836,0.018805236728951718
20,Gaze Y,0.0,0.0018058690744920992,1.0,94.26333174349,0.2144469525959368,1.000471331350027e-39,12.48450152878652,0.0381266895187136,0.08368795447803559
20,ET_PupilLeft,0.0,0.0,1.0,99.92620343465605,0.20456231454005935,3.8353683018977174e-74,7.061876565973849,0.017323658888614812,0.3950859157010717
20,ET_PupilRight,0.0,0.000185459940652819,0.9999999999999991,99.8858979863711,0.20975519287833827,1.1742329335089577e-77,6.836153505492862,0.016806240145015704,0.4330527519084879
